date,price
2025-11-22 02:00:00+02:00,84739.74
2025-11-23 02:00:00+02:00,86830.0
2025-11-24 02:00:00+02:00,88300.01
2025-11-25 02:00:00+02:00,87369.96
2025-11-26 02:00:00+02:00,90484.02
2025-11-27 02:00:00+02:00,91333.95
2025-11-28 02:00:00+02:00,90890.7
2025-11-29 02:00:00+02:00,90802.44
2025-11-30 02:00:00+02:00,90360.0
2025-12-01 02:00:00+02:00,86286.01
2025-12-02 02:00:00+02:00,91277.88
2025-12-03 02:00:00+02:00,93429.95
2025-12-04 02:00:00+02:00,92078.06
2025-12-05 02:00:00+02:00,89330.04
2025-12-06 02:00:00+02:00,89236.79
2025-12-07 02:00:00+02:00,90395.31
2025-12-08 02:00:00+02:00,90634.34
2025-12-09 02:00:00+02:00,92678.8
2025-12-10 02:00:00+02:00,92015.37
2025-12-11 02:00:00+02:00,92513.38
2025-12-12 02:00:00+02:00,90268.42
2025-12-13 02:00:00+02:00,90240.01
2025-12-14 02:00:00+02:00,88172.17
2025-12-15 02:00:00+02:00,86432.08
2025-12-16 02:00:00+02:00,87863.42
2025-12-17 02:00:00+02:00,86243.22
2025-12-18 02:00:00+02:00,85516.41
2025-12-19 02:00:00+02:00,88136.94
2025-12-20 02:00:00+02:00,88360.9
2025-12-21 02:00:00+02:00,88658.86
2025-12-22 02:00:00+02:00,88620.79
2025-12-23 02:00:00+02:00,87486.0
2025-12-24 02:00:00+02:00,87669.45
2025-12-25 02:00:00+02:00,87225.27
2025-12-26 02:00:00+02:00,87369.56
2025-12-27 02:00:00+02:00,87877.01
2025-12-28 02:00:00+02:00,87952.71
2025-12-29 02:00:00+02:00,87237.13
2025-12-30 02:00:00+02:00,88485.49
2025-12-31 02:00:00+02:00,87648.22
2026-01-01 02:00:00+02:00,88839.04
2026-01-02 02:00:00+02:00,89995.13
2026-01-03 02:00:00+02:00,90628.01
2026-01-04 02:00:00+02:00,91529.73
2026-01-05 02:00:00+02:00,93859.71
2026-01-06 02:00:00+02:00,93747.97
2026-01-07 02:00:00+02:00,91364.16
2026-01-08 02:00:00+02:00,91099.99
2026-01-09 02:00:00+02:00,90641.28
2026-01-10 02:00:00+02:00,90504.7
2026-01-11 02:00:00+02:00,91013.65
2026-01-12 02:00:00+02:00,91296.2
2026-01-13 02:00:00+02:00,95414.0
2026-01-14 02:00:00+02:00,96951.78
2026-01-15 02:00:00+02:00,95604.8
2026-01-16 02:00:00+02:00,95550.94
2026-01-17 02:00:00+02:00,95147.77
2026-01-18 02:00:00+02:00,93673.14
2026-01-19 02:00:00+02:00,92631.0
2026-01-20 02:00:00+02:00,88427.66
2026-01-21 02:00:00+02:00,89454.73
2026-01-22 02:00:00+02:00,89559.67
2026-01-23 02:00:00+02:00,89600.26
2026-01-24 02:00:00+02:00,89225.34
2026-01-25 02:00:00+02:00,86670.36
2026-01-26 02:00:00+02:00,88347.08
2026-01-27 02:00:00+02:00,89250.0
2026-01-28 02:00:00+02:00,89299.99
2026-01-29 02:00:00+02:00,84650.16
2026-01-30 02:00:00+02:00,84260.49
2026-01-31 02:00:00+02:00,78741.09
2026-02-01 02:00:00+02:00,76968.21
2026-02-02 02:00:00+02:00,78738.61
2026-02-03 02:00:00+02:00,75770.21
2026-02-04 02:00:00+02:00,73165.83
2026-02-05 02:00:00+02:00,62909.86
2026-02-06 02:00:00+02:00,70580.26
2026-02-07 02:00:00+02:00,69289.38
2026-02-08 02:00:00+02:00,70330.38
2026-02-09 02:00:00+02:00,70138.0
2026-02-10 02:00:00+02:00,68841.29
2026-02-11 02:00:00+02:00,67082.52
2026-02-12 02:00:00+02:00,66272.17
2026-02-13 02:00:00+02:00,68853.96
2026-02-14 02:00:00+02:00,69822.95
2026-02-15 02:00:00+02:00,68832.58
2026-02-16 02:00:00+02:00,68892.43
2026-02-17 02:00:00+02:00,67503.52
2026-02-18 02:00:00+02:00,66461.0
2026-02-19 02:00:00+02:00,67003.73
2026-02-20 02:00:00+02:00,68020.01
2026-02-21 02:00:00+02:00,67975.93
2026-02-22 02:00:00+02:00,67643.4
2026-02-23 02:00:00+02:00,66171.11
2026-02-24 02:00:00+02:00,64058.15
2026-02-25 02:00:00+02:00,67988.04
2026-02-26 02:00:00+02:00,67485.18
2026-02-27 02:00:00+02:00,65872.1
2026-02-28 02:00:00+02:00,66973.26
2026-03-01 02:00:00+02:00,65776.47
2026-03-02 02:00:00+02:00,68830.06
2026-03-03 02:00:00+02:00,68338.0
2026-03-04 02:00:00+02:00,72666.77
2026-03-05 02:00:00+02:00,70890.72
2026-03-06 02:00:00+02:00,68114.02
2026-03-07 02:00:00+02:00,67262.91
2026-03-08 02:00:00+02:00,65971.2
2026-03-09 02:00:00+02:00,68432.16
2026-03-10 02:00:00+02:00,69948.63
2026-03-11 02:00:00+02:00,70191.86
2026-03-12 02:00:00+02:00,70541.34
2026-03-13 02:00:00+02:00,70930.0
2026-03-14 02:00:00+02:00,71211.95
2026-03-15 02:00:00+02:00,72815.24
2026-03-16 02:00:00+02:00,74884.67
2026-03-17 02:00:00+02:00,73909.36
2026-03-18 02:00:00+02:00,71246.54
2026-03-19 02:00:00+02:00,69930.0
2026-03-20 02:00:00+02:00,70087.72
